cell_clean,cell.x,integration_cluster,cell.y,cell_type,sample_type
X120797926144238.T,X120797926144238_Y_.T,9,X120797926144238.T,Exhausted CD8+ T cells,T
X120797944237469.N,X120797944237469_X_.N,0,X120797944237469.N,Blood Cell,N
X120797944265974.N,X120797944265974_X_.N,3,X120797944265974.N,Pro-angiogenesis Macrophage,N
X120797944540531.T,X120797944540531_Y_.T,2,X120797944540531.T,Macrophage,T
X120797944790261.T,X120797944790261_Y_.T,1,X120797944790261.T,Exhausted CD8+ T cells,T
X120864470153973.T,X120864470153973_Y_.T,1,X120864470153973.T,CD8+ T cell,T
X120864470321589.N,X120864470321589_X_.N,0,X120864470321589.N,Effector/Memory CD4+ T cells,N
X120864470396132.T,X120864470396132_Y_.T,1,X120864470396132.T,Exhausted CD8+ T cells,T
X120864470424284.T,X120864470424284_Y_.T,1,X120864470424284.T,CD8+ T cell,T
X120864470842292.T,X120864470842292_Y_.T,1,X120864470842292.T,CD8+ T cell,T
X120864470908196.N,X120864470908196_X_.N,2,X120864470908196.N,Pro-angiogenesis Macrophage,N
X120864470919396.N,X120864470919396_X_.N,8,X120864470919396.N,Non Blood Cell,N
X120864484805038.T,X120864484805038_Y_.T,5,X120864484805038.T,B Cell,T
X120864485038940.N,X120864485038940_X_.N,7,X120864485038940.N,Pro-angiogenesis Macrophage,N
X120864485039540.N,X120864485039540_X_.N,4,X120864485039540.N,Pro-angiogenesis Macrophage,N
X120864485042093.N,X120864485042093_X_.N,2,X120864485042093.N,Pro-angiogenesis Macrophage,N
X120864485522805.N,X120864485522805_X_.N,2,X120864485522805.N,Pro-angiogenesis Macrophage,N
X120864497396444.N,X120864497396444_X_.N,4,X120864497396444.N,Phagocytosis Macrophage,N
X120864497646371.T,X120864497646371_Y_.T,7,X120864497646371.T,Macrophage,T
X120864498112733.N,X120864498112733_X_.N,2,X120864498112733.N,Pro-angiogenesis Macrophage,N
X120864498150821.N,X120864498150821_X_.N,0,X120864498150821.N,Effector/Memory CD4+ T cells,N
X120864498175214.N,X120864498175214_X_.N,3,X120864498175214.N,Pro-angiogenesis Macrophage,N
X120864516823348.T,X120864516823348_Y_.T,1,X120864516823348.T,Exhausted CD8+ T cells,T
X121202296118580.N,X121202296118580_X_.N,0,X121202296118580.N,Effector/Memory CD8+ T cells,N
X121202296436531.T,X121202296436531_Y_.T,1,X121202296436531.T,Exhausted CD8+ T cells,T
X121202296436643.N,X121202296436643_X_.N,0,X121202296436643.N,Blood Cell,N
X121202296708516.N,X121202296708516_X_.N,3,X121202296708516.N,Pro-angiogenesis Macrophage,N
X121202310863197.T,X121202310863197_Y_.T,5,X121202310863197.T,B Cell,T
X121202311060204.T,X121202311060204_Y_.T,8,X121202311060204.T,Pancreatic Cancer Cell,T
