cell_clean,cell.x,integration_cluster,cell.y,cell_type,sample_type
X199962347625244.N,X199962347625244_X_.N,1,X199962347625244.N,Effector/Memory CD8+ T cells,N
X199962347628827.N,X199962347628827_X_.N,13,X199962347628827.N,Lung Cancer Cell,N
X199962360405342.T,X199962360405342_Y_.T,0,X199962360405342.T,Effector/Memory CD8+ T cells,T
X199962378816428.N,X199962378816428_X_.N,3,X199962378816428.N,Pro-angiogenesis Macrophage,N
X199962379008925.N,X199962379008925_X_.N,7,X199962379008925.N,Macrophage,N
X199962379053364.T,X199962379053364_Y_.T,0,X199962379053364.T,CD4+ T cell,T
X199962379369373.N,X199962379369373_X_.N,0,X199962379369373.N,Effector/Memory CD4+ T cells,N
X199962379565875.N,X199962379565875_X_.N,0,X199962379565875.N,Effector/Memory CD4+ T cells,N
X200348208655772.N,X200348208655772_X_.N,8,X200348208655772.N,Lung Cancer Cell,N
X200348208904619.N,X200348208904619_X_.N,2,X200348208904619.N,Pro-angiogenesis Macrophage,N
X200348208936755.T,X200348208936755_Y_.T,0,X200348208936755.T,CD4+ T cell,T
X200348208946460.N,X200348208946460_X_.N,2,X200348208946460.N,Pro-angiogenesis Macrophage,N
X200348223270196.N,X200348223270196_X_.N,6,X200348223270196.N,Natural killer cell,N
X200348223519158.T,X200348223519158_Y_.T,0,X200348223519158.T,CD4+ T cell,T
X200348223626459.T,X200348223626459_Y_.T,2,X200348223626459.T,Phagocytosis Macrophage,T
X200348236142326.T,X200348236142326_Y_.T,0,X200348236142326.T,T regulatory cells,T
X200348236179236.N,X200348236179236_X_.N,6,X200348236179236.N,Natural killer cell,N
X200348236180382.N,X200348236180382_X_.N,2,X200348236180382.N,Pro-angiogenesis Macrophage,N
X200348236371830.T,X200348236371830_Y_.T,2,X200348236371830.T,Macrophage,T
X200348254758709.T,X200348254758709_Y_.T,3,X200348254758709.T,Phagocytosis Macrophage,T
X200348254788404.N,X200348254788404_X_.N,2,X200348254788404.N,Phagocytosis Macrophage,N
X200348254989667.T,X200348254989667_Y_.T,5,X200348254989667.T,B Cell,T
X200348255313180.N,X200348255313180_X_.N,2,X200348255313180.N,Pro-angiogenesis Macrophage,N
X200348255337900.T,X200348255337900_Y_.T,0,X200348255337900.T,CD4+ T cell,T
X200348255546726.T,X200348255546726_Y_.T,5,X200348255546726.T,B Cell,T
X200348255570292.N,X200348255570292_X_.N,1,X200348255570292.N,Effector/Memory CD4+ T cells,N
X200348255604133.N,X200348255604133_X_.N,6,X200348255604133.N,Natural killer cell,N
X200363912056238.T,X200363912056238_Y_.T,0,X200363912056238.T,T regulatory cells,T
X200363912129252.T,X200363912129252_Y_.T,0,X200363912129252.T,CD4+ T cell,T
X200363912358310.T,X200363912358310_Y_.T,4,X200363912358310.T,Macrophage,T
X200363912611764.T,X200363912611764_Y_.T,1,X200363912611764.T,Effector/Memory CD8+ T cells,T
X200363912617396.N,X200363912617396_X_.N,4,X200363912617396.N,Pro-angiogenesis Macrophage,N
X200363912903076.N,X200363912903076_X_.N,4,X200363912903076.N,Pro-angiogenesis Macrophage,N
X200363926743838.N,X200363926743838_X_.N,0,X200363926743838.N,Effector/Memory CD8+ T cells,N
X200363926776748.N,X200363926776748_X_.N,3,X200363926776748.N,Pro-angiogenesis Macrophage,N
X200363927034158.T,X200363927034158_Y_.T,2,X200363927034158.T,Phagocytosis Macrophage,T
X200363927104822.T,X200363927104822_Y_.T,5,X200363927104822.T,B Cell,T
X200363927300532.N,X200363927300532_X_.N,6,X200363927300532.N,Natural killer cell,N
X200363939351325.T,X200363939351325_Y_.T,0,X200363939351325.T,Blood Cell,T
X200363939416950.N,X200363939416950_X_.N,1,X200363939416950.N,Natural killer cell,N
X200363958255006.N,X200363958255006_X_.N,2,X200363958255006.N,Pro-angiogenesis Macrophage,N
X200363958529307.N,X200363958529307_X_.N,6,X200363958529307.N,Natural killer cell,N
X200363958779302.N,X200363958779302_X_.N,4,X200363958779302.N,Blood Cell,N
X200363959008676.N,X200363959008676_X_.N,1,X200363959008676.N,Effector/Memory CD8+ T cells,N
X200416659684597.N,X200416659684597_X_.N,2,X200416659684597.N,Pro-angiogenesis Macrophage,N
X200416659921819.N,X200416659921819_X_.N,3,X200416659921819.N,Pro-angiogenesis Macrophage,N
X200416659945318.T,X200416659945318_Y_.T,5,X200416659945318.T,B Cell,T
X200416660183412.N,X200416660183412_X_.N,4,X200416660183412.N,Pro-angiogenesis Macrophage,N
X200416674363821.N,X200416674363821_X_.N,2,X200416674363821.N,Pro-angiogenesis Macrophage,N
X200416674367907.T,X200416674367907_Y_.T,0,X200416674367907.T,T regulatory cells,T
X200416674569637.N,X200416674569637_X_.N,2,X200416674569637.N,Pro-angiogenesis Macrophage,N
X200416674659044.T,X200416674659044_Y_.T,6,X200416674659044.T,Natural killer cell,T
X200416675195163.N,X200416675195163_X_.N,15,X200416675195163.N,pDC,N
X200416686992115.N,X200416686992115_X_.N,3,X200416686992115.N,Pro-angiogenesis Macrophage,N
X200416687242613.N,X200416687242613_X_.N,4,X200416687242613.N,Naive CD4+ T cells,N
X200416687478692.N,X200416687478692_X_.N,2,X200416687478692.N,Pro-angiogenesis Macrophage,N
X200416705795877.N,X200416705795877_X_.N,7,X200416705795877.N,Pro-angiogenesis Macrophage,N
X200416705832747.T,X200416705832747_Y_.T,4,X200416705832747.T,CD4 or CD8 T cell,T
X200416705858292.T,X200416705858292_Y_.T,5,X200416705858292.T,B Cell,T
X200416705861549.T,X200416705861549_Y_.T,0,X200416705861549.T,CD8+ T cell,T
X200416706292069.T,X200416706292069_Y_.T,0,X200416706292069.T,CD4+ T cell,T
X200426591767789.T,X200426591767789_Y_.T,1,X200426591767789.T,Exhausted CD8+ T cells,T
X200426591774438.T,X200426591774438_Y_.T,5,X200426591774438.T,B Cell,T
X200426591836508.T,X200426591836508_Y_.T,8,X200426591836508.T,Non Blood Cell,T
X200426591992054.N,X200426591992054_X_.N,3,X200426591992054.N,Pro-angiogenesis Macrophage,N
X200426591996205.T,X200426591996205_Y_.T,2,X200426591996205.T,Phagocytosis Macrophage,T
X200426592029989.T,X200426592029989_Y_.T,2,X200426592029989.T,Phagocytosis Macrophage,T
X200426592093998.T,X200426592093998_Y_.T,5,X200426592093998.T,B Cell,T
X200426592320245.T,X200426592320245_Y_.T,8,X200426592320245.T,Non Stromal Cell,T
X200426592356726.N,X200426592356726_X_.N,0,X200426592356726.N,Effector/Memory CD4+ T cells,N
X200426606483235.T,X200426606483235_Y_.T,4,X200426606483235.T,Macrophage,T
X200426606484189.T,X200426606484189_Y_.T,1,X200426606484189.T,Exhausted CD8+ T cells,T
X200426607012075.N,X200426607012075_X_.N,0,X200426607012075.N,Effector/Memory CD4+ T cells,N
X200426607032683.N,X200426607032683_X_.N,0,X200426607032683.N,Blood Cell,N
X200426619263261.T,X200426619263261_Y_.T,5,X200426619263261.T,B Cell,T
X200426619524982.N,X200426619524982_X_.N,7,X200426619524982.N,Macrophage,N
X200426619615606.T,X200426619615606_Y_.T,0,X200426619615606.T,CD4+ T cell,T
X200426637937580.N,X200426637937580_X_.N,0,X200426637937580.N,CD4 or CD8 T cell,N
X200426637965740.T,X200426637965740_Y_.T,8,X200426637965740.T,Pancreatic Cancer Cell,T
X200426638206821.N,X200426638206821_X_.N,6,X200426638206821.N,Natural killer cell,N
X200426638436643.T,X200426638436643_Y_.T,1,X200426638436643.T,Exhausted CD8+ T cells,T
X200426638730974.T,X200426638730974_Y_.T,0,X200426638730974.T,Effector/Memory CD8+ T cells,T
X200441221539566.N,X200441221539566_X_.N,0,X200441221539566.N,Effector/Memory CD4+ T cells,N
X200441221757229.N,X200441221757229_X_.N,3,X200441221757229.N,Pro-angiogenesis Macrophage,N
X200441221766043.T,X200441221766043_Y_.T,0,X200441221766043.T,Effector/Memory CD8+ T cells,T
X200441222294437.T,X200441222294437_Y_.T,4,X200441222294437.T,Macrophage,T
X200441222351196.N,X200441222351196_X_.N,1,X200441222351196.N,Effector/Memory CD4+ T cells,N
X200441236150620.T,X200441236150620_Y_.T,5,X200441236150620.T,B Cell,T
X200441236217140.T,X200441236217140_Y_.T,3,X200441236217140.T,Pro-angiogenesis Macrophage,T
X200441236470572.T,X200441236470572_Y_.T,1,X200441236470572.T,Exhausted CD8+ T cells,T
X200441236933492.N,X200441236933492_X_.N,3,X200441236933492.N,Pro-angiogenesis Macrophage,N
X200441248991469.N,X200441248991469_X_.N,6,X200441248991469.N,Natural killer cell,N
X200441249021278.N,X200441249021278_X_.N,6,X200441249021278.N,Natural killer cell,N
X200441249347958.T,X200441249347958_Y_.T,1,X200441249347958.T,Exhausted CD8+ T cells,T
X200441249352924.N,X200441249352924_X_.N,2,X200441249352924.N,Pro-angiogenesis Macrophage,N
X200441249516333.N,X200441249516333_X_.N,8,X200441249516333.N,Non Blood Cell,N
X200441249586420.T,X200441249586420_Y_.T,4,X200441249586420.T,Blood Cell,T
X200441249586462.N,X200441249586462_X_.N,3,X200441249586462.N,Pro-angiogenesis Macrophage,N
X200441267645365.T,X200441267645365_Y_.T,1,X200441267645365.T,Exhausted CD8+ T cells,T
X200441267702516.N,X200441267702516_X_.N,7,X200441267702516.N,Macrophage,N
X200511149009261.N,X200511149009261_X_.N,0,X200511149009261.N,Effector/Memory CD4+ T cells,N
X200511149533556.N,X200511149533556_X_.N,3,X200511149533556.N,Pro-angiogenesis Macrophage,N
X200511149762395.N,X200511149762395_X_.N,8,X200511149762395.N,CAFinfla,N
X200511163848621.T,X200511163848621_Y_.T,8,X200511163848621.T,Pancreatic Cancer Cell,T
X200511163950813.T,X200511163950813_Y_.T,5,X200511163950813.T,B Cell,T
X200511164135341.T,X200511164135341_Y_.T,0,X200511164135341.T,T regulatory cells,T
X200511164136820.N,X200511164136820_X_.N,1,X200511164136820.N,Effector/Memory CD8+ T cells,N
X200511176464238.T,X200511176464238_Y_.T,0,X200511176464238.T,CD4+ T cell,T
X200511176493420.T,X200511176493420_Y_.T,0,X200511176493420.T,Blood Cell,T
X200511176726374.N,X200511176726374_X_.N,1,X200511176726374.N,Effector/Memory CD8+ T cells,N
X200511176959901.T,X200511176959901_Y_.T,2,X200511176959901.T,Macrophage,T
X200511176959915.T,X200511176959915_Y_.T,5,X200511176959915.T,B Cell,T
X200511195338613.N,X200511195338613_X_.N,0,X200511195338613.N,Effector/Memory CD4+ T cells,N
X200511195933021.T,X200511195933021_Y_.T,0,X200511195933021.T,CD4+ T cell,T
X200561480657206.T,X200561480657206_Y_.T,1,X200561480657206.T,Effector/Memory CD8+ T cells,T
X200561481370342.T,X200561481370342_Y_.T,0,X200561481370342.T,T regulatory cells,T
X200561495267189.T,X200561495267189_Y_.T,0,X200561495267189.T,CD4+ T cell,T
X200561495533485.T,X200561495533485_Y_.T,1,X200561495533485.T,CD4 or CD8 T cell,T
X200561495755700.N,X200561495755700_X_.N,0,X200561495755700.N,Effector/Memory CD4+ T cells,N
X200561495759068.T,X200561495759068_Y_.T,8,X200561495759068.T,Non Blood Cell,T
X200561495797044.N,X200561495797044_X_.N,2,X200561495797044.N,Pro-angiogenesis Macrophage,N
X200561495828715.N,X200561495828715_X_.N,1,X200561495828715.N,Effector/Memory CD8+ T cells,N
X200561507814244.N,X200561507814244_X_.N,2,X200561507814244.N,Macrophage,N
X200561507911531.T,X200561507911531_Y_.T,5,X200561507911531.T,B Cell,T
X200561508374374.T,X200561508374374_Y_.T,6,X200561508374374.T,Exhausted CD8+ T cells,T
X200561508435868.N,X200561508435868_X_.N,7,X200561508435868.N,Pro-angiogenesis Macrophage,N
X200561508670750.T,X200561508670750_Y_.T,1,X200561508670750.T,Exhausted CD8+ T cells,T
X200561526728603.T,X200561526728603_Y_.T,2,X200561526728603.T,Macrophage,T
X200561527475499.T,X200561527475499_Y_.T,0,X200561527475499.T,CD4+ T cell,T
X200562822797085.T,X200562822797085_Y_.T,11,X200562822797085.T,cDC2,T
X200562822825716.T,X200562822825716_Y_.T,0,X200562822825716.T,Tfh/Th1 helper CD4+ T cells,T
X200562822830316.N,X200562822830316_X_.N,1,X200562822830316.N,Effector/Memory CD8+ T cells,N
X200562823251877.T,X200562823251877_Y_.T,0,X200562823251877.T,T regulatory cells,T
X200562823314660.T,X200562823314660_Y_.T,1,X200562823314660.T,CD8+ T cell,T
X200562823358692.N,X200562823358692_X_.N,1,X200562823358692.N,CD4 or CD8 T cell,N
X200562837437796.T,X200562837437796_Y_.T,0,X200562837437796.T,CD4+ T cell,T
X200562837707483.T,X200562837707483_Y_.T,1,X200562837707483.T,Exhausted CD8+ T cells,T
X200562838198004.N,X200562838198004_X_.N,13,X200562838198004.N,Lung Cancer Cell,N
X200562838223732.N,X200562838223732_X_.N,1,X200562838223732.N,CD8 T or NK cell,N
X200562838292398.N,X200562838292398_X_.N,2,X200562838292398.N,Pro-angiogenesis Macrophage,N
X200562850253037.N,X200562850253037_X_.N,2,X200562850253037.N,Pro-angiogenesis Macrophage,N
X200562850511661.T,X200562850511661_Y_.T,0,X200562850511661.T,CD4+ T cell,T
X200562868926390.N,X200562868926390_X_.N,4,X200562868926390.N,Phagocytosis Macrophage,N
X200562869128109.T,X200562869128109_Y_.T,4,X200562869128109.T,Macrophage,T
X200562869201822.N,X200562869201822_X_.N,2,X200562869201822.N,Pro-angiogenesis Macrophage,N
X200562869724894.N,X200562869724894_X_.N,1,X200562869724894.N,Effector/Memory CD8+ T cells,N
X200563762522909.N,X200563762522909_X_.N,2,X200563762522909.N,Pro-angiogenesis Macrophage,N
X200563762583284.T,X200563762583284_Y_.T,0,X200563762583284.T,Natural killer cell,T
X200563777232308.N,X200563777232308_X_.N,3,X200563777232308.N,Pro-angiogenesis Macrophage,N
X200563777558324.N,X200563777558324_X_.N,7,X200563777558324.N,Macrophage,N
X200563777779637.T,X200563777779637_Y_.T,0,X200563777779637.T,CD4+ T cell,T
X200563777812323.N,X200563777812323_X_.N,1,X200563777812323.N,Effector/Memory CD8+ T cells,N
X200563789581149.T,X200563789581149_Y_.T,0,X200563789581149.T,Effector/Memory CD8+ T cells,T
X200563790302622.N,X200563790302622_X_.N,3,X200563790302622.N,Pro-angiogenesis Macrophage,N
X200563808418717.T,X200563808418717_Y_.T,0,X200563808418717.T,CD4+ T cell,T
X200563808693478.N,X200563808693478_X_.N,9,X200563808693478.N,Pro-angiogenesis Macrophage,N
X200563809217894.T,X200563809217894_Y_.T,4,X200563809217894.T,Naive CD4+ T cells,T
X200563809245604.T,X200563809245604_Y_.T,4,X200563809245604.T,Macrophage,T
X200570473658789.T,X200570473658789_Y_.T,8,X200570473658789.T,Pancreatic Cancer Cell,T
X200570473737051.N,X200570473737051_X_.N,4,X200570473737051.N,Pro-angiogenesis Macrophage,N
X200570487851750.T,X200570487851750_Y_.T,1,X200570487851750.T,CD4+ T cell,T
X200570488088420.T,X200570488088420_Y_.T,0,X200570488088420.T,CD8 T or NK cell,T
X200570488669998.T,X200570488669998_Y_.T,5,X200570488669998.T,B Cell,T
X200570500431276.T,X200570500431276_Y_.T,5,X200570500431276.T,B Cell,T
X200570500470636.T,X200570500470636_Y_.T,0,X200570500470636.T,T regulatory cells,T
X200570501261557.T,X200570501261557_Y_.T,0,X200570501261557.T,Effector/Memory CD8+ T cells,T
X200570519611244.T,X200570519611244_Y_.T,8,X200570519611244.T,Pancreatic Cancer Cell,T
X200570519840686.T,X200570519840686_Y_.T,1,X200570519840686.T,Effector/Memory CD8+ T cells,T
X200570519894899.N,X200570519894899_X_.N,0,X200570519894899.N,Blood Cell,N
X200570519901941.T,X200570519901941_Y_.T,1,X200570519901941.T,Exhausted CD8+ T cells,T
X200570520092068.T,X200570520092068_Y_.T,2,X200570520092068.T,Macrophage or Dendritic Cell,T
X200899038701942.T,X200899038701942_Y_.T,0,X200899038701942.T,Effector/Memory CD4+ T cells,T
X200899053373292.T,X200899053373292_Y_.T,14,X200899053373292.T,Mast cell,T
X200899053442868.N,X200899053442868_X_.N,2,X200899053442868.N,Pro-angiogenesis Macrophage,N
X200899065691446.T,X200899065691446_Y_.T,4,X200899065691446.T,Phagocytosis Macrophage,T
X200899065699637.T,X200899065699637_Y_.T,8,X200899065699637.T,Any Cell,T
X200899065703134.T,X200899065703134_Y_.T,6,X200899065703134.T,Natural killer cell,T
X200899065732332.N,X200899065732332_X_.N,4,X200899065732332.N,Macrophage,N
X200899065734891.T,X200899065734891_Y_.T,8,X200899065734891.T,Non Blood Cell,T
X200899066226542.T,X200899066226542_Y_.T,9,X200899066226542.T,Exhausted CD8+ T cells,T
X200899084339635.T,X200899084339635_Y_.T,1,X200899084339635.T,CD4+ T cell,T
X200899084344102.T,X200899084344102_Y_.T,0,X200899084344102.T,CD4 or CD8 T cell,T
X200899084380468.N,X200899084380468_X_.N,1,X200899084380468.N,Effector/Memory CD4+ T cells,N
X200899084900660.N,X200899084900660_X_.N,3,X200899084900660.N,Pro-angiogenesis Macrophage,N
X200899085088684.T,X200899085088684_Y_.T,0,X200899085088684.T,Effector/Memory CD8+ T cells,T
X200899085090212.T,X200899085090212_Y_.T,7,X200899085090212.T,Macrophage,T
X200922526234974.N,X200922526234974_X_.N,3,X200922526234974.N,Pro-angiogenesis Macrophage,N
X200922526279454.T,X200922526279454_Y_.T,0,X200922526279454.T,Exhausted CD8+ T cells,T
X200922526309300.N,X200922526309300_X_.N,0,X200922526309300.N,Effector/Memory CD4+ T cells,N
X200922526828828.N,X200922526828828_X_.N,1,X200922526828828.N,Effector/Memory CD4+ T cells,N
X200922527086451.N,X200922527086451_X_.N,2,X200922527086451.N,Pro-angiogenesis Macrophage,N
X200922527095531.N,X200922527095531_X_.N,4,X200922527095531.N,Macrophage,N
X200922540980638.T,X200922540980638_Y_.T,5,X200922540980638.T,B Cell,T
X200922541177270.N,X200922541177270_X_.N,4,X200922541177270.N,Pro-angiogenesis Macrophage,N
X200922541250358.T,X200922541250358_Y_.T,10,X200922541250358.T,CAFinfla,T
X200922541451507.T,X200922541451507_Y_.T,2,X200922541451507.T,Macrophage,T
X200922541714675.N,X200922541714675_X_.N,3,X200922541714675.N,Pro-angiogenesis Macrophage,N
X200922541735198.T,X200922541735198_Y_.T,0,X200922541735198.T,CD4+ T cell,T
X200922541767005.N,X200922541767005_X_.N,0,X200922541767005.N,CD4 or CD8 T cell,N
X200922541767414.N,X200922541767414_X_.N,6,X200922541767414.N,Natural killer cell,N
X200922553505502.N,X200922553505502_X_.N,0,X200922553505502.N,Effector/Memory CD4+ T cells,N
X200922553793886.N,X200922553793886_X_.N,3,X200922553793886.N,Pro-angiogenesis Macrophage,N
X200922554124699.T,X200922554124699_Y_.T,1,X200922554124699.T,CD8+ T cell,T
X200922572384163.T,X200922572384163_Y_.T,3,X200922572384163.T,Macrophage,T
X200922572442035.T,X200922572442035_Y_.T,0,X200922572442035.T,CD4+ T cell,T
X200922572445980.T,X200922572445980_Y_.T,5,X200922572445980.T,B Cell,T
X200922572712862.N,X200922572712862_X_.N,0,X200922572712862.N,Effector/Memory CD4+ T cells,N
X200922572732262.N,X200922572732262_X_.N,3,X200922572732262.N,Pro-angiogenesis Macrophage,N
X200922572732262.T,X200922572732262_Y_.T,0,X200922572732262.T,CD4+ T cell,T
X200922573196635.T,X200922573196635_Y_.T,8,X200922573196635.T,Normal Fibroblast,T
X200922573232357.N,X200922573232357_X_.N,0,X200922573232357.N,Effector/Memory CD4+ T cells,N
X200922573260723.T,X200922573260723_Y_.T,1,X200922573260723.T,Exhausted CD8+ T cells,T
X200967489435894.T,X200967489435894_Y_.T,1,X200967489435894.T,Exhausted CD8+ T cells,T
X200967489538934.N,X200967489538934_X_.N,3,X200967489538934.N,Pro-angiogenesis Macrophage,N
X200967504653733.N,X200967504653733_X_.N,6,X200967504653733.N,Natural killer cell,N
X200967516506973.N,X200967516506973_X_.N,6,X200967516506973.N,Natural killer cell,N
X200967516772774.N,X200967516772774_X_.N,8,X200967516772774.N,Lung Cancer Cell,N
X200967516777699.T,X200967516777699_Y_.T,0,X200967516777699.T,CD4 or CD8 T cell,T
X200967535614238.T,X200967535614238_Y_.T,0,X200967535614238.T,T regulatory cells,T
X200967535647133.T,X200967535647133_Y_.T,0,X200967535647133.T,Effector/Memory CD4+ T cells,T
X200967535652123.T,X200967535652123_Y_.T,12,X200967535652123.T,Endothelial Cells,T
X200967536105308.N,X200967536105308_X_.N,6,X200967536105308.N,Natural killer cell,N
X200967536167221.N,X200967536167221_X_.N,9,X200967536167221.N,Pro-angiogenesis Macrophage,N
X200974065940253.N,X200974065940253_X_.N,2,X200974065940253.N,Pro-angiogenesis Macrophage,N
X200974065953133.N,X200974065953133_X_.N,2,X200974065953133.N,Pro-angiogenesis Macrophage,N
X200974066112438.T,X200974066112438_Y_.T,5,X200974066112438.T,B Cell,T
X200974066636588.T,X200974066636588_Y_.T,1,X200974066636588.T,Effector/Memory CD8+ T cells,T
X200974066641179.T,X200974066641179_Y_.T,8,X200974066641179.T,Pancreatic Cancer Cell,T
X200974080555828.N,X200974080555828_X_.N,3,X200974080555828.N,Pro-angiogenesis Macrophage,N
X200974080628964.T,X200974080628964_Y_.T,0,X200974080628964.T,CD4+ T cell,T
X200974080788277.N,X200974080788277_X_.N,3,X200974080788277.N,Pro-angiogenesis Macrophage,N
X200974093371244.T,X200974093371244_Y_.T,10,X200974093371244.T,CAFmyo,T
X200974093470430.N,X200974093470430_X_.N,2,X200974093470430.N,Phagocytosis Macrophage,N
X200974093638558.N,X200974093638558_X_.N,2,X200974093638558.N,Macrophage,N
X200974111988083.N,X200974111988083_X_.N,2,X200974111988083.N,Pro-angiogenesis Macrophage,N
X200974112340892.T,X200974112340892_Y_.T,10,X200974112340892.T,CAFadi,T
X200974112537460.N,X200974112537460_X_.N,7,X200974112537460.N,Pro-angiogenesis Macrophage,N
X200974112841051.T,X200974112841051_Y_.T,1,X200974112841051.T,CD4 or CD8 T cell,T
X200983461087133.T,X200983461087133_Y_.T,4,X200983461087133.T,Blood Cell,T
X200983461149100.T,X200983461149100_Y_.T,0,X200983461149100.T,T regulatory cells,T
X200983461189980.T,X200983461189980_Y_.T,1,X200983461189980.T,Exhausted CD8+ T cells,T
X200983461649125.N,X200983461649125_X_.N,2,X200983461649125.N,Pro-angiogenesis Macrophage,N
X200983476096220.T,X200983476096220_Y_.T,0,X200983476096220.T,CD4+ T cell,T
X200983476652773.N,X200983476652773_X_.N,8,X200983476652773.N,Lung Cancer Cell,N
X200983488915747.N,X200983488915747_X_.N,3,X200983488915747.N,Pro-angiogenesis Macrophage,N
X200983507229414.N,X200983507229414_X_.N,0,X200983507229414.N,Macrophage or Dendritic Cell,N
X200983507324198.N,X200983507324198_X_.N,3,X200983507324198.N,Pro-angiogenesis Macrophage,N
X200983507495771.T,X200983507495771_Y_.T,13,X200983507495771.T,Pancreatic Cancer Cell,T
X200983507744565.N,X200983507744565_X_.N,6,X200983507744565.N,Natural killer cell,N
X200983507811678.N,X200983507811678_X_.N,3,X200983507811678.N,Pro-angiogenesis Macrophage,N
X200994198511019.T,X200994198511019_Y_.T,8,X200994198511019.T,CAFmyo,T
X200994198572446.N,X200994198572446_X_.N,4,X200994198572446.N,Pro-angiogenesis Macrophage,N
X200994198842596.T,X200994198842596_Y_.T,5,X200994198842596.T,B Cell,T
X200994213185454.T,X200994213185454_Y_.T,0,X200994213185454.T,Blood Cell,T
X200994213804404.N,X200994213804404_X_.N,1,X200994213804404.N,Effector/Memory CD8+ T cells,N
X200994213969269.T,X200994213969269_Y_.T,1,X200994213969269.T,Effector/Memory CD8+ T cells,T
X200994213976355.T,X200994213976355_Y_.T,2,X200994213976355.T,Phagocytosis Macrophage,T
X200994214075804.T,X200994214075804_Y_.T,9,X200994214075804.T,Phagocytosis Macrophage,T
X200994225773486.T,X200994225773486_Y_.T,1,X200994225773486.T,Exhausted CD8+ T cells,T
X200994225810731.T,X200994225810731_Y_.T,5,X200994225810731.T,B Cell,T
X200994225867638.N,X200994225867638_X_.N,4,X200994225867638.N,Pro-angiogenesis Macrophage,N
X200994225871731.N,X200994225871731_X_.N,13,X200994225871731.N,Non Blood Cell,N
X200994226105589.N,X200994226105589_X_.N,2,X200994226105589.N,Pro-angiogenesis Macrophage,N
X200994226584501.T,X200994226584501_Y_.T,5,X200994226584501.T,B Cell,T
X200994244905332.T,X200994244905332_Y_.T,5,X200994244905332.T,B Cell,T
X200994244909341.N,X200994244909341_X_.N,2,X200994244909341.N,Pro-angiogenesis Macrophage,N
X200994245262195.N,X200994245262195_X_.N,0,X200994245262195.N,Effector/Memory CD4+ T cells,N
X200994245490542.T,X200994245490542_Y_.T,2,X200994245490542.T,Phagocytosis Macrophage,T
X201111639080163.T,X201111639080163_Y_.T,0,X201111639080163.T,T regulatory cells,T
X201111639088052.T,X201111639088052_Y_.T,1,X201111639088052.T,Exhausted CD8+ T cells,T
X201111639091940.N,X201111639091940_X_.N,3,X201111639091940.N,Pro-angiogenesis Macrophage,N
X201111639091940.T,X201111639091940_Y_.T,0,X201111639091940.T,Effector/Memory CD8+ T cells,T
X201111639308725.T,X201111639308725_Y_.T,0,X201111639308725.T,CD4 or CD8 T cell,T
X201111653731046.N,X201111653731046_X_.N,3,X201111653731046.N,Pro-angiogenesis Macrophage,N
X201111653759405.N,X201111653759405_X_.N,0,X201111653759405.N,Blood Cell,N
X201111653764380.N,X201111653764380_X_.N,2,X201111653764380.N,Pro-angiogenesis Macrophage,N
X201111654260059.N,X201111654260059_X_.N,2,X201111654260059.N,Pro-angiogenesis Macrophage,N
X201111666379494.N,X201111666379494_X_.N,2,X201111666379494.N,Pro-angiogenesis Macrophage,N
X201111685220787.T,X201111685220787_Y_.T,4,X201111685220787.T,CD4+ T cell,T
X201111685224355.N,X201111685224355_X_.N,0,X201111685224355.N,Effector/Memory CD4+ T cells,N
X201111685457758.N,X201111685457758_X_.N,3,X201111685457758.N,Pro-angiogenesis Macrophage,N
X201111685491499.N,X201111685491499_X_.N,2,X201111685491499.N,Pro-angiogenesis Macrophage,N
X201111685512092.N,X201111685512092_X_.N,4,X201111685512092.N,Phagocytosis Macrophage,N
X201111685679477.T,X201111685679477_Y_.T,0,X201111685679477.T,CD4+ T cell,T
X201111685774237.N,X201111685774237_X_.N,9,X201111685774237.N,Pro-angiogenesis Macrophage,N
X201111685937461.N,X201111685937461_X_.N,0,X201111685937461.N,Effector/Memory CD4+ T cells,N
X201114457696028.N,X201114457696028_X_.N,1,X201114457696028.N,Effector/Memory CD8+ T cells,N
X201114457893750.N,X201114457893750_X_.N,6,X201114457893750.N,Natural killer cell,N
X201114458373411.T,X201114458373411_Y_.T,9,X201114458373411.T,CD8+ T cell,T
X201114472303334.T,X201114472303334_Y_.T,4,X201114472303334.T,Phagocytosis Macrophage,T
X201114472335277.T,X201114472335277_Y_.T,10,X201114472335277.T,CAFinfla,T
X201114472626916.T,X201114472626916_Y_.T,1,X201114472626916.T,Effector/Memory CD8+ T cells,T
X201114484885862.T,X201114484885862_Y_.T,7,X201114484885862.T,Macrophage,T
X201114485119270.T,X201114485119270_Y_.T,0,X201114485119270.T,Effector/Memory CD4+ T cells,T
X201114485648691.N,X201114485648691_X_.N,2,X201114485648691.N,Pro-angiogenesis Macrophage,N
X201114504083302.N,X201114504083302_X_.N,3,X201114504083302.N,Pro-angiogenesis Macrophage,N
X201114504317355.T,X201114504317355_Y_.T,0,X201114504317355.T,CD4 or CD8 T cell,T
X201465571469748.N,X201465571469748_X_.N,4,X201465571469748.N,Pro-angiogenesis Macrophage,N
X201465571522355.N,X201465571522355_X_.N,15,X201465571522355.N,pDC,N
X201465571753388.N,X201465571753388_X_.N,2,X201465571753388.N,Pro-angiogenesis Macrophage,N
X201465571948461.T,X201465571948461_Y_.T,1,X201465571948461.T,CD8+ T cell,T
